age,education,education-num,relationship,race,gender,capital-gain,hours-per-week,income
27, Some-college,10, Not-in-family, White, Female,0,38,0
45, HS-grad,9, Wife, White, Female,0,40,0
29, Bachelors,13, Husband, Black, Male,0,55,1
30, Bachelors,13, Not-in-family, White, Female,0,40,0
29, Some-college,10, Not-in-family, White, Male,2202,50,0
51, Masters,14, Husband, White, Male,0,47,1
58, HS-grad,9, Husband, White, Male,15024,60,1
22, HS-grad,9, Not-in-family, Other, Female,0,40,0
50, Assoc-acdm,12, Not-in-family, White, Female,0,40,0
50, HS-grad,9, Husband, White, Male,3103,40,1
43, Bachelors,13, Not-in-family, White, Male,0,42,0
37, HS-grad,9, Not-in-family, White, Male,0,40,0
41, Bachelors,13, Not-in-family, White, Male,0,40,1
46, 7th-8th,4, Wife, White, Female,0,45,0
33, Some-college,10, Wife, White, Female,0,35,0
45, 11th,7, Unmarried, Black, Female,0,25,0
43, Assoc-voc,11, Husband, White, Male,3103,48,1
52, Prof-school,15, Husband, White, Male,0,40,0
38, Assoc-acdm,12, Wife, White, Female,7688,33,1
32, Bachelors,13, Unmarried, Black, Female,0,30,0
40, 9th,5, Husband, White, Male,0,40,0
31, HS-grad,9, Own-child, Other, Male,0,40,0
51, Masters,14, Unmarried, White, Male,0,40,0
23, HS-grad,9, Not-in-family, White, Female,0,30,0
29, Some-college,10, Husband, White, Male,0,48,0
32, Bachelors,13, Not-in-family, White, Male,0,35,0
59, HS-grad,9, Unmarried, White, Male,0,40,0
32, Bachelors,13, Unmarried, White, Female,0,40,0
33, Some-college,10, Not-in-family, White, Male,0,50,0
18, HS-grad,9, Own-child, White, Female,0,33,0
53, 5th-6th,3, Husband, Other, Male,5178,40,1
32, Some-college,10, Husband, White, Male,0,40,1
23, HS-grad,9, Own-child, White, Male,0,40,0
26, 11th,7, Unmarried, White, Female,0,20,0
28, Bachelors,13, Not-in-family, White, Male,0,40,0
30, Bachelors,13, Husband, White, Male,0,40,1
18, 11th,7, Own-child, White, Male,0,20,0
34, Assoc-acdm,12, Not-in-family, White, Male,0,40,0
25, Some-college,10, Other-relative, White, Female,0,30,0
54, HS-grad,9, Other-relative, Black, Female,0,20,0
37, Some-college,10, Not-in-family, White, Male,0,40,0
45, Assoc-acdm,12, Unmarried, Black, Male,0,35,0
48, Prof-school,15, Husband, White, Male,99999,50,1
72, HS-grad,9, Unmarried, White, Female,0,16,0
45, Some-college,10, Husband, White, Male,0,65,1
45, HS-grad,9, Husband, White, Male,0,40,1
45, 11th,7, Husband, Black, Male,0,50,0
20, HS-grad,9, Unmarried, Black, Female,0,25,0
64, 10th,6, Husband, White, Male,0,56,1
45, HS-grad,9, Husband, White, Male,0,40,1
45, HS-grad,9, Not-in-family, White, Female,0,40,0
20, Some-college,10, Own-child, White, Female,0,40,0
46, Some-college,10, Own-child, White, Male,3325,55,0
26, HS-grad,9, Own-child, White, Female,0,40,0
28, Masters,14, Not-in-family, White, Female,0,80,0
60, 10th,6, Not-in-family, White, Female,0,40,0
31, HS-grad,9, Husband, White, Male,0,40,1
19, HS-grad,9, Own-child, White, Female,0,24,0
27, HS-grad,9, Husband, White, Male,2885,40,0
62, Bachelors,13, Not-in-family, White, Female,0,48,0
49, HS-grad,9, Unmarried, White, Male,0,40,0
48, 9th,5, Husband, White, Male,0,40,0
25, Bachelors,13, Husband, White, Male,0,40,1
25, Bachelors,13, Husband, White, Male,0,40,1
37, Bachelors,13, Not-in-family, White, Female,0,40,0
81, Some-college,10, Unmarried, White, Female,0,4,0
41, HS-grad,9, Husband, White, Male,3464,40,0
