age,education,education-num,relationship,race,gender,capital-gain,hours-per-week,income
39, Bachelors,13, Not-in-family, White, Male,2174,40,0
50, Bachelors,13, Husband, White, Male,0,13,0
38, HS-grad,9, Not-in-family, White, Male,0,40,0
53, 11th,7, Husband, Black, Male,0,40,0
28, Bachelors,13, Wife, Black, Female,0,40,0
37, Masters,14, Wife, White, Female,0,40,0
49, 9th,5, Not-in-family, Black, Female,0,16,0
52, HS-grad,9, Husband, White, Male,0,45,1
31, Masters,14, Not-in-family, White, Female,14084,50,1
42, Bachelors,13, Husband, White, Male,5178,40,1
37, Some-college,10, Husband, Black, Male,0,80,1
30, Bachelors,13, Husband, Asian-Pac-Islander, Male,0,40,1
23, Bachelors,13, Own-child, White, Female,0,30,0
32, Assoc-acdm,12, Not-in-family, Black, Male,0,50,0
40, Assoc-voc,11, Husband, Asian-Pac-Islander, Male,0,40,1
34, 7th-8th,4, Husband, Amer-Indian-Eskimo, Male,0,45,0
25, HS-grad,9, Own-child, White, Male,0,35,0
32, HS-grad,9, Unmarried, White, Male,0,40,0
38, 11th,7, Husband, White, Male,0,50,0
43, Masters,14, Unmarried, White, Female,0,45,1
40, Doctorate,16, Husband, White, Male,0,60,1
54, HS-grad,9, Unmarried, Black, Female,0,20,0
35, 9th,5, Husband, Black, Male,0,40,0
43, 11th,7, Husband, White, Male,0,40,0
59, HS-grad,9, Unmarried, White, Female,0,40,0
56, Bachelors,13, Husband, White, Male,0,40,1
19, HS-grad,9, Own-child, White, Male,0,40,0
54, Some-college,10, Husband, Asian-Pac-Islander, Male,0,60,1
39, HS-grad,9, Not-in-family, White, Male,0,80,0
49, HS-grad,9, Husband, White, Male,0,40,0
23, Assoc-acdm,12, Not-in-family, White, Male,0,52,0
20, Some-college,10, Own-child, Black, Male,0,44,0
45, Bachelors,13, Own-child, White, Male,0,40,0
30, Some-college,10, Own-child, White, Male,0,40,0
22, Some-college,10, Husband, Black, Male,0,15,0
48, 11th,7, Unmarried, White, Male,0,40,0
21, Some-college,10, Own-child, White, Male,0,40,0
19, HS-grad,9, Wife, White, Female,0,25,0
31, Some-college,10, Husband, White, Male,0,38,1
48, Assoc-acdm,12, Husband, White, Male,0,40,0
31, 9th,5, Husband, White, Male,0,43,0
53, Bachelors,13, Husband, White, Male,0,40,0
24, Bachelors,13, Husband, White, Male,0,50,0
49, HS-grad,9, Unmarried, White, Female,0,40,0
25, HS-grad,9, Not-in-family, White, Male,0,35,0
57, Bachelors,13, Husband, Black, Male,0,40,1
53, HS-grad,9, Husband, White, Male,0,38,0
44, Masters,14, Unmarried, White, Female,0,40,0
41, Assoc-voc,11, Husband, White, Male,0,40,0
29, Assoc-voc,11, Not-in-family, White, Male,0,43,0
25, Some-college,10, Wife, Other, Female,0,40,0
18, HS-grad,9, Own-child, White, Female,0,30,0
47, Prof-school,15, Wife, White, Female,0,60,1
50, Bachelors,13, Not-in-family, White, Male,0,55,1
47, HS-grad,9, Not-in-family, White, Male,0,60,0
43, Some-college,10, Husband, White, Male,0,40,1
46, 5th-6th,3, Husband, White, Male,0,40,0
35, Assoc-voc,11, Husband, White, Male,0,40,0
41, HS-grad,9, Husband, White, Male,0,48,0
30, HS-grad,9, Husband, White, Male,5013,40,0
30, Bachelors,13, Husband, White, Male,2407,40,0
32, 7th-8th,4, Not-in-family, White, Male,0,40,0
48, HS-grad,9, Husband, White, Male,0,40,0
42, Doctorate,16, Husband, White, Male,0,45,1
29, Some-college,10, Not-in-family, White, Male,0,58,0
36, HS-grad,9, Husband, White, Male,0,40,0
28, Some-college,10, Not-in-family, White, Female,0,40,0
53, HS-grad,9, Wife, White, Female,0,40,1
49, Some-college,10, Husband, White, Male,0,50,1
25, Some-college,10, Own-child, White, Male,0,40,0
19, Some-college,10, Own-child, White, Male,0,32,0
31, Bachelors,13, Own-child, Black, Female,0,40,0
29, Bachelors,13, Husband, White, Male,0,70,1
23, Some-college,10, Not-in-family, White, Male,0,40,0
79, Some-college,10, Other-relative, White, Male,0,20,0
27, HS-grad,9, Own-child, White, Male,0,40,0
40, Assoc-acdm,12, Husband, White, Male,0,40,0
67, 10th,6, Husband, White, Male,0,2,0
18, 11th,7, Own-child, White, Female,0,22,0
31, 7th-8th,4, Husband, White, Male,0,40,0
18, HS-grad,9, Not-in-family, White, Male,0,30,0
52, Bachelors,13, Husband, White, Male,0,40,0
46, HS-grad,9, Wife, White, Female,0,40,0
59, HS-grad,9, Husband, White, Male,0,48,0
44, HS-grad,9, Not-in-family, White, Female,14344,40,1
53, HS-grad,9, Own-child, White, Female,0,35,0
49, HS-grad,9, Husband, White, Male,0,40,1
33, Masters,14, Husband, White, Male,0,50,0
30, 9th,5, Not-in-family, White, Male,0,40,0
43, Doctorate,16, Not-in-family, White, Female,0,50,1
57, Assoc-voc,11, Husband, White, Male,0,40,0
37, Some-college,10, Unmarried, White, Female,0,40,0
28, Some-college,10, Unmarried, Black, Female,0,25,0
30, HS-grad,9, Wife, Asian-Pac-Islander, Female,0,35,0
34, Bachelors,13, Husband, White, Male,0,40,1
29, Some-college,10, Not-in-family, White, Male,0,50,0
48, Doctorate,16, Husband, White, Male,0,60,1
37, Some-college,10, Husband, White, Male,0,48,1
48, Assoc-acdm,12, Unmarried, White, Female,0,40,0
32, HS-grad,9, Own-child, Black, Male,0,40,0
76, Masters,14, Husband, White, Male,0,40,1
44, Bachelors,13, Husband, White, Male,15024,60,1
47, Masters,14, Not-in-family, White, Female,0,50,0
20, Some-college,10, Own-child, White, Female,0,40,0
29, HS-grad,9, Not-in-family, White, Male,0,40,0
32, HS-grad,9, Husband, White, Male,7688,40,1
17, 10th,6, Own-child, White, Female,34095,32,0
30, 11th,7, Own-child, White, Male,0,40,0
31, HS-grad,9, Not-in-family, White, Female,0,40,0
42, HS-grad,9, Husband, White, Male,0,40,0
24, Bachelors,13, Other-relative, White, Male,0,40,0
38, Prof-school,15, Husband, White, Male,0,40,1
56, HS-grad,9, Husband, White, Male,0,50,1
28, Some-college,10, Wife, White, Female,4064,25,0
36, HS-grad,9, Own-child, White, Female,0,40,0
53, 9th,5, Husband, White, Male,0,50,0
56, Some-college,10, Husband, White, Male,0,50,0
49, Assoc-voc,11, Husband, Black, Male,0,40,1
55, Some-college,10, Husband, White, Male,0,56,0
22, HS-grad,9, Not-in-family, White, Male,0,41,0
21, Some-college,10, Own-child, White, Female,0,40,0
40, Bachelors,13, Husband, White, Male,0,60,0
30, Bachelors,13, Own-child, Black, Male,0,40,0
29, Bachelors,13, Husband, White, Male,0,50,1
19, Some-college,10, Own-child, Black, Male,0,35,0
47, Bachelors,13, Wife, White, Female,0,40,1
20, Some-college,10, Own-child, White, Female,0,28,0
31, Assoc-acdm,12, Husband, White, Male,0,40,1
35, HS-grad,9, Husband, White, Male,0,40,0
39, Some-college,10, Not-in-family, White, Male,0,40,0
28, Assoc-acdm,12, Not-in-family, White, Female,0,60,0
24, HS-grad,9, Not-in-family, White, Female,0,40,0
38, HS-grad,9, Husband, White, Male,4386,35,0
37, Bachelors,13, Husband, White, Male,0,50,0
46, Assoc-acdm,12, Not-in-family, Black, Female,0,36,0
38, Masters,14, Husband, White, Male,0,40,1
43, HS-grad,9, Husband, White, Male,0,60,0
27, Assoc-voc,11, Wife, White, Female,0,35,0
20, Some-college,10, Own-child, White, Male,0,20,0
49, Some-college,10, Husband, Asian-Pac-Islander, Male,0,40,1
61, HS-grad,9, Husband, White, Male,0,40,0
27, Some-college,10, Own-child, White, Female,0,40,0
19, Some-college,10, Own-child, White, Male,0,30,0
45, Assoc-voc,11, Not-in-family, White, Female,0,40,1
70, Some-college,10, Other-relative, White, Male,0,40,0
31, HS-grad,9, Unmarried, Black, Female,0,30,0
22, Some-college,10, Husband, White, Male,0,24,0
36, HS-grad,9, Unmarried, White, Female,0,24,0
64, 11th,7, Husband, White, Male,0,40,0
43, Some-college,10, Not-in-family, White, Female,0,40,0
47, Some-college,10, Unmarried, White, Female,0,38,0
34, HS-grad,9, Not-in-family, White, Female,0,40,0
33, Bachelors,13, Other-relative, Asian-Pac-Islander, Female,0,40,0
21, HS-grad,9, Own-child, White, Male,0,35,0
52, HS-grad,9, Not-in-family, White, Male,0,45,1
48, HS-grad,9, Husband, White, Male,0,46,0
23, Bachelors,13, Not-in-family, White, Male,0,40,0
71, Some-college,10, Unmarried, Black, Male,0,2,0
29, HS-grad,9, Not-in-family, White, Male,0,60,0
42, Bachelors,13, Other-relative, Black, Male,0,50,0
68, 1st-4th,2, Not-in-family, White, Female,0,20,0
25, HS-grad,9, Unmarried, White, Female,0,40,0
44, Masters,14, Unmarried, Asian-Pac-Islander, Female,0,40,0
28, HS-grad,9, Not-in-family, Asian-Pac-Islander, Female,0,40,0
45, Masters,14, Husband, White, Male,0,40,1
36, Some-college,10, Unmarried, White, Female,0,40,0
39, Assoc-acdm,12, Not-in-family, White, Male,0,42,0
46, Masters,14, Unmarried, White, Male,0,40,0
18, 11th,7, Own-child, White, Male,0,16,0
66, Assoc-voc,11, Not-in-family, White, Female,0,20,0
27, HS-grad,9, Not-in-family, White, Male,0,40,0
28, HS-grad,9, Husband, White, Male,0,40,0
